id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,created_at,timestamp,crawled_at,updated,is_protected,time_of_existence,average_daily_tweets,inactive_days,has_default_image,bio_is_empty,friends_followers_ratio,is_verified
7248952,Bhuvan Chand,tarunkjuyal,1259,837,1978,3200,9,http://lifeofearth.org,,,Berekely,,,,http://a1.twimg.com/profile_images/53905961/stuntdbl_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme4/bg.gif,,,,,,,,,Love Your Life,,,1183552203000L,2007-07-04 14:30:03,2010-11-07 11:10:52,2016-03-14 17:05:53,False,4772,0.32767651372302536,4420,False,False,2.886138613861386,False
7732472,Daniel Wagner,DanielWagner,770,3274,3595,8,22,http://www.yourinternetbuddies.com/go,,,UK,,,,http://a3.twimg.com/profile_images/719249843/dan-square-crop_normal.png,,,,,,,,,http://a3.twimg.com/profile_background_images/79862973/dan-bw.jpg,,,,,,,,,I am an internet marketing coach and mentor who can help you succeed making money online,,,1185440851000L,2007-07-26 11:07:31,2010-11-07 11:10:52,2016-03-14 17:05:54,False,4750,0.2641549147547885,4115,False,False,0.015465861938890985,False
9524952,Andrew Lock,Andrewlock,1100,38849,34504,41,1014,http://www.helpmybusiness.com,,,Planet Earth,,,,http://a3.twimg.com/profile_images/516987291/bright_idea_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288305442/images/themes/theme1/bg.png,,,,,,,,,"Marketing Geek & Presenter of 'Help! My Business Sucks!' Web TV Show (www.HelpMyBusiness.com), I'm a self confessed Cola Bottle Addict (but I can stop anytime) ",,,1192725360000L,2007-10-18 18:36:00,2010-11-07 11:10:52,2016-03-14 17:05:54,False,4666,0.6884508249410757,3705,False,False,0.2291906185329961,False
10788822,Tim Thompson,yourinsaneworld,6497,5902,5496,0,82,http://investing-information.com,,,"Houston, TX",,,,http://a3.twimg.com/profile_images/200984855/tim_thompson_normal.jpg,,,,,,,,,http://s.twimg.com/a/1288039940/images/themes/theme7/bg.gif,,,,,,,,,I am a member of a network of stock investing educators. Check out more stock tips & resources on investing-information.com.,,,1196614406000L,2007-12-02 17:53:26,2010-11-07 11:10:52,2016-03-14 17:05:54,,,,,,,,
14596967,fxgenie,fxgenie,3203,2570,2638,0,5,http://www.4xgenie.com/wp,,,usa,,,,http://a2.twimg.com/profile_images/53530606/shark_normal.jpg,,,,,,,,,http://a1.twimg.com/profile_background_images/21513830/twitter-template-16_copy.png,,,,,,,,,forex trader,,,1209536534000L,2008-04-30 08:22:14,2010-11-07 11:10:52,2016-03-14 17:05:54,False,4471,0.715339892665474,3992,False,False,1.288518738845925,False
14826060,"Ron Smalley, MD(ret)",ABetterBiz,2467,3421,3575,0,19,http://abetterbiz.com,,,Colorado - USA,,,1.0,http://a2.twimg.com/profile_images/863428642/ron_smalley__md__ret__normal.jpg,,,,,,,,,http://a1.twimg.com/profile_background_images/136589098/x65d451a156f9a88b42fc15400a47390.png,,,,,,,,,We seriously help people make money online the simple easy way with a dynamic program: http://abetterbiz.com for some interesting facts. ,,,1211155018000L,2008-05-19 01:56:58,2010-11-07 11:10:52,2016-03-14 17:05:55,False,4452,0.5830713964975303,3891,False,False,1.3584195672624648,False
14938781,modernadvantage,modernadvantage,347,1451,1618,1,7,http://www.web-biz-solutions.com/blog,,,"Auburn, Al.",,,1.0,http://a2.twimg.com/profile_images/54788522/0000194372_normal.jpg,,,,,,,,,http://a1.twimg.com/profile_background_images/4029720/j11.jpg,,,,,,,,,"internet, travel, photography",,,1212017203000L,2008-05-29 01:26:43,2010-11-07 11:10:52,2016-03-14 17:05:55,False,4442,0.08280828082808281,4282,False,False,1.7182130584192439,False
15528595,youtubepixel,youtubepixel,562,891,1643,1,1,http://www.youtubepixel.com,,,London,,,,http://a2.twimg.com/profile_images/273210946/cat_pic_normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme1/bg.png,,,,,,,,,"my name is eddie-i  enjoy videos, internet, social networking and entertainment",,,1216718943000L,2008-07-22 11:29:03,2010-11-07 11:10:52,2016-03-14 17:05:56,False,4388,0.20095693779904306,4163,False,False,0.7211457455770851,False
16671189,Iulian Baciu,IulianBaciu,24,915,1633,0,2,http://iulianbaciu.com,,,Hamilton. Canada,,,,http://a1.twimg.com/profile_images/219412857/iulian_baciu_normal.jpg,,,,,,,,,http://s.twimg.com/a/1287774835/images/themes/theme12/bg.gif,,,,,,,,,"Positive thinking specialist ! SEO, Marketing, Business",,,1223578831000L,2008-10-09 21:00:31,2010-11-07 11:10:52,2016-03-14 17:05:56,False,4309,0.00580046403712297,4297,False,False,2.3636363636363638,False
16733141,Venture Hype,venturehype,2511,12049,12263,0,212,http://venturehype.com,,,,,,,http://a3.twimg.com/profile_images/101316499/vh_logo_normal.jpg,,,,,,,,,http://a1.twimg.com/profile_background_images/6039550/vh_logo_tag2.jpg,,,,,,,,,"Learning exchange for aspiring and motivated angel investors. Learn from sophisticated angels and profit from promising startups. Updates by Joey, Randy & Evita",,,1223956217000L,2008-10-14 05:50:17,2010-11-07 11:10:52,2016-03-14 17:06:46,,,,,,,,
17976561,Scott Parker,ScotParker,9,1406,1797,0,1,,,,"West Palm Beach, Florida",,,,http://a1.twimg.com/profile_images/76577885/jsp_1__normal.jpg,,,,,,,,,http://s.twimg.com/a/1288374569/images/themes/theme6/bg.gif,,,,,,,,,"Online entrepreneur, loving husband,proud father, gaming addict",,,1228777401000L,2008-12-09 00:03:21,2010-11-07 11:10:52,2016-03-14 17:05:56,False,4248,0.0021176470588235292,4242,False,False,1.654226125137212,False
19121759,iShopd.com,ishopd,66,888,1183,0,0,,,,India,,,,http://a1.twimg.com/profile_images/98209225/logo3_normal.jpg,,,,,,,,,http://a3.twimg.com/profile_background_images/7048053/general_google.jpg,,,,,,,,,Online Social Shopping network of India. Help others make better shopping decisions. What are you shopping? ,,,1232222609000L,2009-01-17 21:03:29,2010-11-07 11:10:52,2016-03-14 17:05:57,False,4209,0.015676959619952493,4187,False,False,1.4593796159527326,False
19435878,Paul Atkinson,00brien,10,753,837,0,3,http://00brien.com,,,Lincolnshire,,,,http://a0.twimg.com/profile_images/262785952/image_00190_normal.jpg,,,,,,,,,http://a3.twimg.com/profile_background_images/29970229/00slideshow0011nikon.jpg,,,,,,,,,"I have been researching a British Spies life for a few years. My site tells his story. His name's ffrench, Conrad ffrench. ",,,1232785000000L,2009-01-24 09:16:40,2010-11-07 11:10:52,2016-03-14 17:05:57,,,,,,,,
19581787,Christopher M Vivace,CLdominator,1694,8993,10228,0,4,http://www.blogtalkradio.com/christophervivace,,,Houston TX,,,,http://a0.twimg.com/profile_images/73594340/chris_pic_normal.jpg,,,,,,,,,http://s.twimg.com/a/1287010001/images/themes/theme16/bg.gif,,,,,,,,, inspiring the world through web 2.0 and spiritual intergration ,,,1233042075000L,2009-01-27 08:41:15,2010-11-07 11:10:52,2016-03-14 17:05:57,False,4199,0.43238095238095237,3844,False,False,1.5294938917975567,False
20338242,Dan,milehighpeople,2394,3947,3944,100,113,http://www.milehighpeople.com,,,Denver,,,1.0,http://a3.twimg.com/profile_images/1106353559/flower_normal.jpg,,,,,,,,,http://a3.twimg.com/profile_background_images/160476115/blue_sky_with_clouds.jpg,,,,,,,,,"News, Entertainment & Sports with a progressive viewpoint from Denver. Follow me & I will follow back.",,,1234046205000L,2009-02-07 23:36:45,2010-11-07 11:10:52,2016-03-14 17:06:46,,,,,,,,
20531552,Scott Newman,immasterminds,465,7511,8411,1,7,http://immasterminds.com,,,"Southern, USA ",,,,http://a3.twimg.com/profile_images/348726923/followme_normal.png,,,,,,,,,http://a1.twimg.com/profile_background_images/27635254/seattleblue1.jpg,,,,,,,,,"Internet Marketing Masterminds, I'm an (EAR) Entrepreneurial Artistic Realist, Love to share ideas and awesome products",,,1234289703000L,2009-02-10 19:15:03,2010-11-07 11:10:52,2016-03-14 17:05:58,False,4185,0.11132345914954611,4042,False,False,1.4747518342684507,False
